duoarea,area-name,product,product-name,process,process-name,series,series-description,value,year,month
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE3,Future Contract 3,EER_EPD2F_PE3_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 3 (Dollars per Gallon),2.705,2024,4
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE1,Future Contract 1,EER_EPD2F_PE1_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 1 (Dollars per Gallon),2.717,2024,4
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE2,Future Contract 2,EER_EPMRR_PE2_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 2 (Dollars per Gallon),2.735,2024,4
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE1,Future Contract 1,EER_EPMRR_PE1_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 1 (Dollars per Gallon),2.763,2024,4
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE3,Future Contract 3,EER_EPMRR_PE3_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 3 (Dollars per Gallon),2.697,2024,4
Y35NY,NEW YORK CITY,EPMRR,Reformulated Regular Gasoline,PE4,Future Contract 4,EER_EPMRR_PE4_Y35NY_DPG,New York Harbor Reformulated RBOB Regular Gasoline Future Contract 4 (Dollars per Gallon),2.644,2024,4
YCUOK,NA,EPC0,Crude Oil,PE1,Future Contract 1,RCLC1,"Cushing, OK Crude Oil Future Contract 1 (Dollars per Barrel)",2.037142857142857,2024,4
YCUOK,NA,EPC0,Crude Oil,PE3,Future Contract 3,RCLC3,"Cushing, OK Crude Oil Future Contract 3 (Dollars per Barrel)",1.996190476190476,2024,4
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE4,Future Contract 4,EER_EPD2F_PE4_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 4 (Dollars per Gallon),2.701,2024,4
Y35NY,NEW YORK CITY,EPD2F,No 2 Fuel Oil / Heating Oil,PE2,Future Contract 2,EER_EPD2F_PE2_Y35NY_DPG,New York Harbor No. 2 Heating Oil Future Contract 2 (Dollars per Gallon),2.71,2024,4
