duoarea,area-name,product,product-name,process,process-name,series,series-description,value,year,month,Cluster_Label
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.705,2024,4,-1
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.717,2024,4,-1
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.735,2024,4,-1
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.763,2024,4,-1
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.697,2024,4,-1
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.644,2024,4,-1
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.037142857142857,2024,4,-1
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.996190476190476,2024,4,-1
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.701,2024,4,-1
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.71,2024,4,-1
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.9742857142857142,2024,4,-1
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,2.0169047619047618,2024,4,-1
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.67,2024,3,0
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.618,2024,3,1
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.9383333333333332,2024,3,2
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.614,2024,3,3
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.627,2024,3,4
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.923095238095238,2024,3,5
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.9059523809523808,2024,3,6
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.9528571428571426,2024,3,7
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.626,2024,3,8
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.724,2024,3,9
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.702,2024,3,10
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.629,2024,3,11
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.950238095238095,2024,3,7
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.9378571428571427,2024,3,2
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.672,2024,3,1
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.744,2024,3,9
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.728,2024,3,10
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.659,2024,3,3
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.713,2024,3,11
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.909047619047619,2024,3,6
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.9245238095238093,2024,3,5
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.69,2024,3,0
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.642,2024,3,8
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.693,2024,3,4
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.603,2024,3,3
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.646,2024,3,4
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.8928571428571428,2024,3,7
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.56,2024,3,8
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.678,2024,3,11
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.8828571428571428,2024,3,2
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.605,2024,3,0
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.651,2024,3,9
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.8723809523809523,2024,3,5
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.616,2024,3,1
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.860238095238095,2024,3,6
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.641,2024,3,10
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.856190476190476,2024,3,2
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.871190476190476,2024,3,7
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.546,2024,3,3
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.514,2024,3,0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.651,2024,3,11
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.543,2024,3,10
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.599,2024,3,4
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.561,2024,3,1
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.551,2024,3,9
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.476,2024,3,8
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.842857142857143,2024,3,5
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.8290476190476188,2024,3,6
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.711,2024,3,11
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.8409523809523807,2024,3,5
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.571,2024,3,3
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.607,2024,3,1
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.53,2024,3,8
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.368,2024,3,9
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.8723809523809523,2024,3,7
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.8257142857142858,2024,3,6
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.8557142857142856,2024,3,2
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.664,2024,3,4
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.564,2024,3,0
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.578,2024,3,10
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.294,2024,2,12
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.72,2024,2,13
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.811190476190476,2024,2,14
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.601,2024,2,15
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.556,2024,2,16
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.671,2024,2,17
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.529,2024,2,18
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.521,2024,2,19
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.8523809523809522,2024,2,20
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.8235714285714286,2024,2,21
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.491,2024,2,22
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.8354761904761905,2024,2,23
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.572,2024,2,19
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.851,2024,2,13
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.706,2024,2,15
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.581,2024,2,18
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.643,2024,2,16
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.788,2024,2,17
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.347,2024,2,12
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.8507142857142858,2024,2,20
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.536,2024,2,22
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.8342857142857143,2024,2,21
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.8254761904761905,2024,2,14
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.8419047619047617,2024,2,23
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.671,2024,2,15
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.497,2024,2,18
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.463,2024,2,22
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.754,2024,2,17
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.493,2024,2,19
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.7709523809523808,2024,2,14
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.828,2024,2,13
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.274,2024,2,12
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.7761904761904759,2024,2,20
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.775,2024,2,21
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.608,2024,2,16
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.7766666666666666,2024,2,23
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.7883333333333333,2024,2,21
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.7838095238095237,2024,2,14
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.7909523809523809,2024,2,23
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.658,2024,2,15
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.446,2024,2,22
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.724,2024,2,17
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.32,2024,2,18
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.597,2024,2,16
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.793095238095238,2024,2,20
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.764,2024,2,13
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.456,2024,2,19
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.203,2024,2,12
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.27,2024,1,24
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.8016666666666665,2024,1,25
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.478,2024,1,26
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.741,2024,1,27
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.478,2024,1,28
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.8095238095238093,2024,1,29
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.592,2024,1,30
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.711,2024,1,31
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.648,2024,1,32
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.243,2024,1,33
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.7964285714285715,2024,1,34
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.805,2024,1,35
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.625,2024,1,31
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.382,2024,1,26
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.175,2024,1,24
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.738095238095238,2024,1,25
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.736190476190476,2024,1,34
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.519,2024,1,30
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.377,2024,1,28
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.7407142857142857,2024,1,29
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.567,2024,1,32
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.668,2024,1,27
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.739285714285714,2024,1,35
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.151,2024,1,33
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.7145238095238096,2024,1,34
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.634,2024,1,27
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.584,2024,1,31
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.315,2024,1,26
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.081,2024,1,33
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.7099999999999997,2024,1,29
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.712142857142857,2024,1,35
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.309,2024,1,28
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.107,2024,1,24
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.713809523809524,2024,1,25
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.478,2024,1,30
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.523,2024,1,32
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.7285714285714284,2024,1,34
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.582,2024,1,27
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.338,2024,1,26
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.117,2024,1,33
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.335,2024,1,28
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.139,2024,1,24
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.7245238095238096,2024,1,35
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.463,2024,1,30
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.548,2024,1,31
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.7273809523809522,2024,1,25
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.7207142857142854,2024,1,29
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.499,2024,1,32
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.5,2023,12,36
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.7526190476190475,2023,12,37
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.58,2023,12,38
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.156,2023,12,39
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.7447619047619047,2023,12,40
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.544,2023,12,41
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.347,2023,12,42
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.7547619047619047,2023,12,43
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.135,2023,12,44
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.601,2023,12,45
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.749285714285714,2023,12,46
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.125,2023,12,47
1.0,0.0,0.0,0.0,3.0,3.0,11.0,3.0,1.765,2023,12,43
0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.691,2023,12,45
1.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,1.757142857142857,2023,12,46
1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.7504761904761903,2023,12,40
0.0,1.0,2.0,2.0,0.0,0.0,4.0,8.0,2.17,2023,12,47
1.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,1.7616666666666665,2023,12,37
0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.666,2023,12,38
0.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.178,2023,12,44
0.0,1.0,1.0,1.0,3.0,3.0,3.0,7.0,2.576,2023,12,36
0.0,1.0,2.0,2.0,2.0,2.0,6.0,10.0,2.194,2023,12,39
0.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,2.625,2023,12,41
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.385,2023,12,42
0.0,1.0,2.0,2.0,3.0,3.0,7.0,11.0,2.283,2023,12,42
